,whole_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,quartile_bucketing,quartile_bucketing,quartile_bucketing
int_frag_disk_t,59970000000.0,28098000000.0,0.0,540000000.0,540000000.0,540000000.0,540000000.0,540000000.0,540000000.0
avg_int_frag_disk_t,30000000.0,14056028.014007004,0.0,270135.0675337669,270135.0675337669,270135.0675337669,270135.0675337669,270135.0675337669,270135.0675337669
disk_t_efficiency,0.0625,0.07114385365506437,1.0,0.8779095300834431,0.610381679389313,0.5329245534524127,0.8779095300834431,0.6204220980757293,0.475499524262607
no_cold_disk_t_effi,0,0,0,0.9395370807746811,0.6385232744783307,0.5538847117794486,0.9395370807746811,0.6495754408883083,0.49183976261127593
avg_disk_t_efficiency,0.0625,0.10940946663808096,1.0,0.9915435659005973,0.7439066755600021,0.7048754640478134,0.9915435659005973,0.7571633038741592,0.6174150671827142
num_retries,0,3505,0,16,1014,1490,16,961,1943
num_retries_bucket,0,2998,0,8,1006,1482,8,953,1935
num_retries_machine,0,507,0,8,8,8,8,8,8
total_run_time,999500.0,2752000.0,999500.0,1007500.0,1506500.0,1744500.0,1007500.0,1480000.0,1971000.0
avg_run_time,500.0,1376.688344172086,500.0,504.00200100050023,753.6268134067034,872.6863431715858,504.00200100050023,740.3701850925463,985.9929964982491
