taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
125 -- 4 -- 16170 -- 0 -- 4000 -- 500 -- 0 -- 3
126 -- 4 -- 11635 -- 0 -- 4000 -- 500 -- 0 -- 2
127 -- 4 -- 32637 -- 0 -- 4000 -- 500 -- 0 -- 1
128 -- 4 -- 12941 -- 0 -- 4000 -- 500 -- 0 -- 2
129 -- 4 -- 11094 -- 0 -- 4000 -- 500 -- 0 -- 2
130 -- 4 -- 15432 -- 0 -- 4000 -- 500 -- 0 -- 3
131 -- 4 -- 31693 -- 0 -- 4000 -- 500 -- 0 -- 1
132 -- 4 -- 16188 -- 0 -- 4000 -- 500 -- 0 -- 3
133 -- 4 -- 31744 -- 0 -- 4000 -- 500 -- 0 -- 1
134 -- 4 -- 11254 -- 0 -- 4000 -- 500 -- 0 -- 2
135 -- 4 -- 10149 -- 0 -- 4000 -- 500 -- 0 -- 2
136 -- 4 -- 31770 -- 0 -- 4000 -- 500 -- 0 -- 1
137 -- 4 -- 15095 -- 0 -- 4000 -- 500 -- 0 -- 3
138 -- 4 -- 32145 -- 0 -- 4000 -- 500 -- 0 -- 1
139 -- 4 -- 16842 -- 0 -- 4000 -- 500 -- 0 -- 3
140 -- 4 -- 10244 -- 0 -- 4000 -- 500 -- 0 -- 2
141 -- 4 -- 15832 -- 0 -- 4000 -- 500 -- 0 -- 3
142 -- 4 -- 32027 -- 0 -- 4000 -- 500 -- 0 -- 1
143 -- 4 -- 10946 -- 0 -- 4000 -- 500 -- 0 -- 2
144 -- 4 -- 10597 -- 0 -- 4000 -- 500 -- 0 -- 2
145 -- 4 -- 11080 -- 0 -- 4000 -- 500 -- 0 -- 2
146 -- 4 -- 10585 -- 0 -- 4000 -- 500 -- 0 -- 2
147 -- 4 -- 15864 -- 0 -- 4000 -- 500 -- 0 -- 3
148 -- 4 -- 31722 -- 0 -- 4000 -- 500 -- 0 -- 1
149 -- 4 -- 10589 -- 0 -- 4000 -- 500 -- 0 -- 2
150 -- 4 -- 16445 -- 0 -- 4000 -- 500 -- 0 -- 3
151 -- 4 -- 32452 -- 0 -- 4000 -- 500 -- 0 -- 1
152 -- 4 -- 11254 -- 0 -- 4000 -- 500 -- 0 -- 2
153 -- 4 -- 31112 -- 0 -- 4000 -- 500 -- 0 -- 1
154 -- 4 -- 11353 -- 0 -- 4000 -- 500 -- 0 -- 2
155 -- 4 -- 16305 -- 0 -- 4000 -- 500 -- 0 -- 3
156 -- 4 -- 32358 -- 0 -- 4000 -- 500 -- 0 -- 1
157 -- 4 -- 15979 -- 0 -- 4000 -- 500 -- 0 -- 3
158 -- 4 -- 10526 -- 0 -- 4000 -- 500 -- 0 -- 2
159 -- 4 -- 15583 -- 0 -- 4000 -- 500 -- 0 -- 3
160 -- 4 -- 16360 -- 0 -- 4000 -- 500 -- 0 -- 3
161 -- 4 -- 31485 -- 0 -- 4000 -- 500 -- 0 -- 1
162 -- 4 -- 16341 -- 0 -- 4000 -- 500 -- 0 -- 3
163 -- 4 -- 11028 -- 0 -- 4000 -- 500 -- 0 -- 2
164 -- 4 -- 15895 -- 0 -- 4000 -- 500 -- 0 -- 3
165 -- 4 -- 15572 -- 0 -- 4000 -- 500 -- 0 -- 3
166 -- 4 -- 32776 -- 0 -- 4000 -- 500 -- 0 -- 1
167 -- 4 -- 10531 -- 0 -- 4000 -- 500 -- 0 -- 2
168 -- 4 -- 16296 -- 0 -- 4000 -- 500 -- 0 -- 3
169 -- 4 -- 31746 -- 0 -- 4000 -- 500 -- 0 -- 1
170 -- 4 -- 11065 -- 0 -- 4000 -- 500 -- 0 -- 2
171 -- 4 -- 32706 -- 0 -- 4000 -- 500 -- 0 -- 1
172 -- 4 -- 15638 -- 0 -- 4000 -- 500 -- 0 -- 3
173 -- 4 -- 31226 -- 0 -- 4000 -- 500 -- 0 -- 1
174 -- 4 -- 10811 -- 0 -- 4000 -- 500 -- 0 -- 2
175 -- 4 -- 10952 -- 0 -- 4000 -- 500 -- 0 -- 2
176 -- 4 -- 31925 -- 0 -- 4000 -- 500 -- 0 -- 1
177 -- 4 -- 10881 -- 0 -- 4000 -- 500 -- 0 -- 2
178 -- 4 -- 15519 -- 0 -- 4000 -- 500 -- 0 -- 3
179 -- 4 -- 10597 -- 0 -- 4000 -- 500 -- 0 -- 2
180 -- 4 -- 31734 -- 0 -- 4000 -- 500 -- 0 -- 1
181 -- 4 -- 31923 -- 0 -- 4000 -- 500 -- 0 -- 1
182 -- 4 -- 31886 -- 0 -- 4000 -- 500 -- 0 -- 1
183 -- 4 -- 15360 -- 0 -- 4000 -- 500 -- 0 -- 3
184 -- 4 -- 15861 -- 0 -- 4000 -- 500 -- 0 -- 3
185 -- 4 -- 15137 -- 0 -- 4000 -- 500 -- 0 -- 3
186 -- 4 -- 15277 -- 0 -- 4000 -- 500 -- 0 -- 3
187 -- 4 -- 10917 -- 0 -- 4000 -- 500 -- 0 -- 2
188 -- 4 -- 32033 -- 0 -- 4000 -- 500 -- 0 -- 1
189 -- 4 -- 11110 -- 0 -- 4000 -- 500 -- 0 -- 2
190 -- 4 -- 16608 -- 0 -- 4000 -- 500 -- 0 -- 3
191 -- 4 -- 16368 -- 0 -- 4000 -- 500 -- 0 -- 3
192 -- 4 -- 11297 -- 0 -- 4000 -- 500 -- 0 -- 2
193 -- 4 -- 16361 -- 0 -- 4000 -- 500 -- 0 -- 3
194 -- 4 -- 16349 -- 0 -- 4000 -- 500 -- 0 -- 3
195 -- 4 -- 31851 -- 0 -- 4000 -- 500 -- 0 -- 1
196 -- 4 -- 16180 -- 0 -- 4000 -- 500 -- 0 -- 3
197 -- 4 -- 16465 -- 0 -- 4000 -- 500 -- 0 -- 3
198 -- 4 -- 15759 -- 0 -- 4000 -- 500 -- 0 -- 3
199 -- 4 -- 31958 -- 0 -- 4000 -- 500 -- 0 -- 1
200 -- 4 -- 31758 -- 0 -- 4000 -- 500 -- 0 -- 1
